firstName,lastName,nickname,dateOfBirth,nationality,gender,weightClass,stance,gym,headCoach,team,fightingOutOf,height,reach,legReach,wins,losses,draws,nc,organization,ranking,isChampion,imageUrl,performance_slpm,performance_strAcc,performance_sapm,performance_strDef,performance_tdAvg,performance_tdAcc,performance_tdDef,performance_subAvg,performance_koTkoWinPct,performance_submissionWinPct,performance_decisionWinPct,socialMedia_twitter,socialMedia_instagram,socialMedia_website,ko_wins,submission_wins,decision_wins,losses_by_ko,losses_by_submission,losses_by_decision,BIO,Weight
Piera,Rodriguez,La Fiera,1992-11-11T00:00:00.000Z,Venezuela,Female,Women's Strawweight,Orthodox,Lilius Barnatt Martial Arts,,,Panama,63,63,,11,2,0,0,UFC,22,FALSE,,3.54,0.47,2.81,0.55,4.53,0.54,0.73,0,0.45,0,0.55,,https://instagram.com/pieralafiera/,,5,0,6,0,1,1,,115 lb
Sam,Hughes,Sampage,1992-06-28T00:00:00.000Z,United States,Female,Women's Strawweight,Orthodox,Fortis MMA,,,"Everett, Washington, United States",65,64,,11,6,0,0,UFC,21,FALSE,,4.34,0.46,4.44,0.58,1.23,0.35,0.6,0.2,0.18,0.36,0.45,,,2,4,5,1,1,4,,,115 lb
Elijah,Smith,Swift,2002-09-05T00:00:00.000Z,United States,Male,Bantamweight,Orthodox,Team Victory,,,"Colorado Springs, Colorado, United States",69,71,,9,1,0,0,UFC,48,FALSE,,4.45,0.47,3.4,0.47,3.51,0.53,0.57,0.9,0.56,0.11,0.33,,,5,1,3,1,0,0,,,135 lb
Su Young,You,Yoo-Jitsu,1995-12-11T00:00:00.000Z,South Korea,Female,Bantamweight,Orthodox,Von Jiu Jitsu,,,"Gunpo-Si, Gyeonggi-Do, South Korea",66,65,,16,3,0,2,UFC,56,FALSE,,2.28,0.46,1.96,0.7,3.8,0.47,0.66,0.4,0.19,0.31,0.5,,,3,5,8,1,0,2,,,135 lb
Beatriz,Mesquita,The Lady Goat,1991-04-07T00:00:00.000Z,Brazil,Female,Women's Bantamweight,Orthodox,American Top Team,,,"Coconut Creek, Florida, United States",64,67,,6,0,0,0,UFC,21,FALSE,,4.98,0.57,0.83,0.73,4.15,0.66,0,2.1,0.17,0.67,0,,,1,4,1,0,0,0,,,135 lb
Montserrat,Rendon,Monster,1989-03-16T00:00:00.000Z,Mexico,Female,Women's Bantamweight,Orthodox,ECR Fight Center,,,México,68,68,,7,1,0,0,UFC,24,FALSE,,3.09,0.28,3.42,0.59,2,0.37,1,,0,0,1,,,0,0,7,0,0,1,,,135 lb
Luan,Lacerda,,1993-01-07T00:00:00.000Z,Brazil,Male,Bantamweight,Orthodox,Nova União,,,"Rio de Janeiro, Rio de Janeiro, Brazil",67,71,,13,3,0,0,UFC,60,FALSE,,4.02,0.46,5.79,0.46,2.29,0.41,0.66,0.9,0,0.85,0.15,,,0,11,2,0,1,2,,,135 lb
Hecher,Sosa,Guanche Warrior,1995-08-25T00:00:00.000Z,Spain,Male,Bantamweight,Orthodox,,,,"Arrecife, Lanzarote, Spain",69,70,,14,1,0,0,UFC,6,FALSE,,2.13,0.5,0.87,0.55,4,0.36,1,2,0.43,0.21,0.36,,,6,3,5,1,0,0,,,135 lb
Bolaji,Oki,The Zulu Warrior,1995-11-15T00:00:00.000Z,Belgium,Male,Lightweight,Orthodox,Valon Team,,,Belgium,70,73,,10,3,0,0,UFC,71,FALSE,,6.59,0.44,5.15,0.61,1.01,0.6,0.66,0,0.5,0.1,0.4,,,5,1,4,1,1,1,,,155 lb
Manoel,Sousa,Manumito,1997-06-04T00:00:00.000Z,,Male,Lightweight,Orthodox,,,,,69,70,,13,1,0,0,UFC,,FALSE,,3.23,0.58,1.31,0.55,0,0,0.62,2.3,0.62,0.23,0.15,,,8,3,2,0,0,1,,,155 lb
Christopher,Curtis,The Action Man,1987-07-15T00:00:00.000Z,United States,Male,Welterweight,Orthodox,Xtreme Couture,,,"Las Vegas, Nevada",70,75,,32,12,0,1,UFC,26,FALSE,,5.98,,,,,,,0.47,0.09,0.44,,,15,3,14,2,1,9,,,,170 lb
